,Species,Genus,Family,Order,Phylum,C1,C2,C3,C4,C5
Species,0.1492,0.1846,0.036,0.0063,0.0025,0.1403,0.1688,0.0126,0.1397,0.1599
Genus,0.0723,0.4151,0.1717,0.0881,0.0377,0.0101,0.0497,0.0541,0.0384,0.0629
Family,0.0126,0.2031,0.2987,0.2283,0.1723,0.0019,0.0063,0.061,0.0057,0.0101
Order,0.0,0.0679,0.1987,0.3145,0.3767,0.0,0.0019,0.034,0.0019,0.0044
Phylum,0.0,0.0031,0.0509,0.1642,0.7704,0.0,0.0,0.0113,0.0,0.0
C1,0.1141,0.0779,0.0183,0.0023,0.0006,0.2936,0.2147,0.004,0.1304,0.1441
C2,0.0968,0.0838,0.0229,0.0033,0.0022,0.1828,0.2894,0.0239,0.0783,0.2165
C3,0.0,0.0136,0.014,0.0153,0.0247,0.0,0.0008,0.9304,0.0,0.001
C4,0.1065,0.1206,0.0272,0.0045,0.0021,0.1536,0.1469,0.0055,0.2725,0.1605
C5,0.0865,0.1098,0.0277,0.0033,0.0011,0.122,0.2417,0.0211,0.1186,0.2683
