rank,fold,model,seed,prevalence,auroc,ap,repeat_seed
Species,0,cnn_avgpool,42,0.057973664959765914,0.4981458992067327,0.053228998665869165,42
Species,0,cnn_avgpool,123,0.057973664959765914,0.5724608924058114,0.06741676929168078,42
Species,0,cnn_avgpool,7,0.057973664959765914,0.49031519407275664,0.0526411222218419,42
Species,0,cnn_avgpool,13,0.057973664959765914,0.5445498622974192,0.06318666464209755,42
Species,0,cnn_avgpool,21,0.057973664959765914,0.5266228051641684,0.061994664919201234,42
Species,1,cnn_avgpool,42,0.05792070162616481,0.5191030388166799,0.056595534177023024,42
Species,1,cnn_avgpool,123,0.05792070162616481,0.5905948905198807,0.07349295610456821,42
Species,1,cnn_avgpool,7,0.05792070162616481,0.5111850944536762,0.05510624247186485,42
Species,1,cnn_avgpool,13,0.05792070162616481,0.5719923252564162,0.06723069254643504,42
Species,1,cnn_avgpool,21,0.05792070162616481,0.5450374192695778,0.0645513985704548,42
Species,2,cnn_avgpool,42,0.05789186237028946,0.5071752802843861,0.05372676509438464,42
Species,2,cnn_avgpool,123,0.05789186237028946,0.5860669036550907,0.07013777925871459,42
Species,2,cnn_avgpool,7,0.05789186237028946,0.5007531978245678,0.05346618969024622,42
Species,2,cnn_avgpool,13,0.05789186237028946,0.5683398657065597,0.06612097384148187,42
Species,2,cnn_avgpool,21,0.05789186237028946,0.5403843466107617,0.06414644147114339,42
Species,3,cnn_avgpool,42,0.05818181818181818,0.521178511100386,0.05615942494140814,42
Species,3,cnn_avgpool,123,0.05818181818181818,0.5672994087837838,0.06835387269757437,42
Species,3,cnn_avgpool,7,0.05818181818181818,0.5067072876447877,0.054963932175642875,42
Species,3,cnn_avgpool,13,0.05818181818181818,0.5516361003861003,0.06594728807915012,42
Species,3,cnn_avgpool,21,0.05818181818181818,0.5225114623552124,0.06218655372522752,42
Species,4,cnn_avgpool,42,0.058424425179042595,0.5107786228983187,0.055014066222871486,42
Species,4,cnn_avgpool,123,0.058424425179042595,0.5684457243213926,0.0681236852887041,42
Species,4,cnn_avgpool,7,0.058424425179042595,0.501500555282936,0.05415476720211812,42
Species,4,cnn_avgpool,13,0.058424425179042595,0.5528668095766937,0.0645431212892912,42
Species,4,cnn_avgpool,21,0.058424425179042595,0.5351707172189365,0.06358620087396688,42
Species,0,cnn_maxpool,42,0.057973664959765914,0.5007462334654323,0.05367607134522419,42
Species,0,cnn_maxpool,123,0.057973664959765914,0.45060528505995895,0.04909107612086612,42
Species,0,cnn_maxpool,7,0.057973664959765914,0.4511436020202502,0.04895778168281935,42
Species,0,cnn_maxpool,13,0.057973664959765914,0.4589467482654742,0.049958692415889815,42
Species,0,cnn_maxpool,21,0.057973664959765914,0.4629385001962805,0.05113105149184432,42
Species,1,cnn_maxpool,42,0.05792070162616481,0.49891951553181124,0.055090442078353744,42
