width,lr,fold,seed,auroc
32,0.0003,0,42,0.8750006066783148
32,0.0003,0,123,0.8652622063676956
32,0.0003,0,7,0.9032172151038633
32,0.001,0,42,0.8912686856920986
32,0.001,0,123,0.8573954086585129
32,0.001,0,7,0.9161625169869929
32,0.003,0,42,0.8900201417200544
32,0.003,0,123,0.8439441370607649
32,0.003,0,7,0.9159671665695983
64,0.0003,0,42,0.874209498155698
64,0.0003,0,123,0.8791618132401475
64,0.0003,0,7,0.9143509755387303
64,0.001,0,42,0.8796841632692681
64,0.001,0,123,0.8800287565521258
64,0.001,0,7,0.914856338575034
64,0.003,0,42,0.8824269559308873
64,0.003,0,123,0.8816431275480489
64,0.003,0,7,0.9019413706076489
128,0.0003,0,42,0.9029921374490391
128,0.0003,0,123,0.8690205785284412
128,0.0003,0,7,0.8795925548437196
128,0.001,0,42,0.8969854154533101
128,0.001,0,123,0.8645748398369248
128,0.001,0,7,0.8836815666860804
128,0.003,0,42,0.8944774072995534
128,0.003,0,123,0.8744661230828965
128,0.003,0,7,0.8869570229081729
32,0.0003,1,42,0.8018776667959658
32,0.0003,1,123,0.8349865448021722
32,0.0003,1,7,0.8542632370054307
32,0.001,1,42,0.8666826270364623
32,0.001,1,123,0.8650819433669511
32,0.001,1,7,0.8662123012024825
32,0.003,1,42,0.8670687063615206
32,0.003,1,123,0.868341495345229
32,0.003,1,7,0.8678505624515128
64,0.0003,1,42,0.8726774631497284
64,0.0003,1,123,0.868900310318076
64,0.0003,1,7,0.8765952288595811
64,0.001,1,42,0.8738066088052754
64,0.001,1,123,0.8690688033359194
64,0.001,1,7,0.8741375339410397
64,0.003,1,42,0.8723229005042669
64,0.003,1,123,0.867197803529868
64,0.003,1,7,0.8716265031031806
128,0.0003,1,42,0.8777110405352986
128,0.0003,1,123,0.8730911195694337
128,0.0003,1,7,0.8763515806826998
128,0.001,1,42,0.8747763527928627
128,0.001,1,123,0.8704409910783553
128,0.001,1,7,0.8728150455779673
128,0.003,1,42,0.8684451367339021
128,0.003,1,123,0.8651334610162917
128,0.003,1,7,0.8690772885958108
32,0.0003,2,42,0.8613801328502414
32,0.0003,2,123,0.8614613526570047
32,0.0003,2,7,0.891558574879227
32,0.001,2,42,0.8964160628019324
32,0.001,2,123,0.9072469806763285
32,0.001,2,7,0.8965295893719806
32,0.003,2,42,0.8867952898550724
32,0.003,2,123,0.906203502415459
32,0.003,2,7,0.8898762077294686
64,0.0003,2,42,0.9070495169082127
64,0.0003,2,123,0.8979698067632851
64,0.0003,2,7,0.9027584541062801
64,0.001,2,42,0.9077161835748794
64,0.001,2,123,0.89318538647343
64,0.001,2,7,0.8948623188405798
64,0.003,2,42,0.9036485507246377
64,0.003,2,123,0.8835694444444444
64,0.003,2,7,0.889771739130435
128,0.0003,2,42,0.9127789855072463
128,0.0003,2,123,0.9045914855072464
128,0.0003,2,7,0.9033774154589372
128,0.001,2,42,0.9115676328502414
128,0.001,2,123,0.9017252415458937
128,0.001,2,7,0.8983233695652173
128,0.003,2,42,0.9071153381642512
128,0.003,2,123,0.8874541062801932
128,0.003,2,7,0.8976618357487923
32,0.0003,3,42,0.813166023166023
32,0.0003,3,123,0.7937439671814671
32,0.0003,3,7,0.7694727316602317
32,0.001,3,42,0.8917736486486486
32,0.001,3,123,0.8878305984555985
32,0.001,3,7,0.8811601110038609
32,0.003,3,42,0.8868164816602317
32,0.003,3,123,0.8848902027027027
32,0.003,3,7,0.8775687741312741
64,0.0003,3,42,0.8816107625482625
64,0.0003,3,123,0.8729693532818533
64,0.0003,3,7,0.8824668194980695
64,0.001,3,42,0.8937584459459461
64,0.001,3,123,0.8845837355212354
64,0.001,3,7,0.8900452461389962
64,0.003,3,42,0.8897822152509653
64,0.003,3,123,0.8784393098455597
64,0.003,3,7,0.8861402027027027
128,0.0003,3,42,0.8942772683397682
128,0.0003,3,123,0.8909640444015443
128,0.0003,3,7,0.8912892133204634
128,0.001,3,42,0.8913748793436292
128,0.001,3,123,0.8873787403474903
128,0.001,3,7,0.8876067808880309
128,0.003,3,42,0.8832197152509652
128,0.003,3,123,0.87214888996139
128,0.003,3,7,0.8810153233590734
32,0.0003,4,42,0.8214817014902244
32,0.0003,4,123,0.799475709599938
32,0.0003,4,7,0.858732147007929
32,0.001,4,42,0.8716398925592087
32,0.001,4,123,0.8776214520003099
32,0.001,4,7,0.8625584338438493
32,0.003,4,42,0.8594875900720576
32,0.003,4,123,0.8852585294041685
32,0.003,4,7,0.8584351352049382
64,0.0003,4,42,0.8739714352126862
64,0.0003,4,123,0.8702084248043596
64,0.0003,4,7,0.8569926909269352
64,0.001,4,42,0.877243084790413
64,0.001,4,123,0.8749819210206876
64,0.001,4,7,0.8539870606162349
64,0.003,4,42,0.8679627573026163
64,0.003,4,123,0.8599201942198921
64,0.003,4,7,0.8440513701283607
128,0.0003,4,42,0.8822761434954416
128,0.0003,4,123,0.8710736331000285
128,0.0003,4,7,0.8642849763681913
128,0.001,4,42,0.8729415790697074
128,0.001,4,123,0.8652367054934269
128,0.001,4,7,0.854599163201529
128,0.003,4,42,0.8673157881143626
128,0.003,4,123,0.8472988067873655
128,0.003,4,7,0.8496125933004467
