rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Species,0,5468,317,0.057973664959765914,tiny_mlp,42,0.6879090581167971,0.11105801655785652,42
Species,0,5468,317,0.057973664959765914,tiny_mlp,123,0.6775726375755037,0.118465184190818,42
Species,0,5468,317,0.057973664959765914,tiny_mlp,7,0.6790124364078641,0.11473312496866953,42
Species,0,5468,317,0.057973664959765914,tiny_mlp,13,0.6829956144621698,0.1141423529542678,42
Species,0,5468,317,0.057973664959765914,tiny_mlp,21,0.6688432064583337,0.11350471155686515,42
Species,1,5473,317,0.05792070162616481,tiny_mlp,42,0.6590392376160327,0.10450139411874015,42
Species,1,5473,317,0.05792070162616481,tiny_mlp,123,0.6595189090900192,0.10791372269907462,42
Species,1,5473,317,0.05792070162616481,tiny_mlp,7,0.6621369119435749,0.10216408517499184,42
Species,1,5473,317,0.05792070162616481,tiny_mlp,13,0.6655001186942167,0.1112249986602679,42
Species,1,5473,317,0.05792070162616481,tiny_mlp,21,0.6723635811880679,0.11223960350516286,42
Species,2,5493,318,0.05789186237028946,tiny_mlp,42,0.6832084586637499,0.1255923113324262,42
Species,2,5493,318,0.05789186237028946,tiny_mlp,123,0.6832424877707897,0.1155076087821206,42
Species,2,5493,318,0.05789186237028946,tiny_mlp,7,0.6756254367575123,0.1177973822669697,42
Species,2,5493,318,0.05789186237028946,tiny_mlp,13,0.6869832588946617,0.12661890642376047,42
Species,2,5493,318,0.05789186237028946,tiny_mlp,21,0.6850022787348465,0.12596190107446914,42
Species,3,5500,320,0.05818181818181818,tiny_mlp,42,0.6697423986486487,0.09921276957626131,42
Species,3,5500,320,0.05818181818181818,tiny_mlp,123,0.6610943532818532,0.10243309151657623,42
Species,3,5500,320,0.05818181818181818,tiny_mlp,7,0.6631219835907336,0.10230858189411277,42
Species,3,5500,320,0.05818181818181818,tiny_mlp,13,0.6645149613899615,0.1060694020685406,42
Species,3,5500,320,0.05818181818181818,tiny_mlp,21,0.6528882118725869,0.10123658798180879,42
Species,4,5306,310,0.058424425179042595,tiny_mlp,42,0.6703369146930447,0.11357409474828997,42
Species,4,5306,310,0.058424425179042595,tiny_mlp,123,0.664392158888401,0.11325593612935655,42
Species,4,5306,310,0.058424425179042595,tiny_mlp,7,0.5745499625506857,0.07242735138517065,42
Species,4,5306,310,0.058424425179042595,tiny_mlp,13,0.66753467289961,0.1081798041228179,42
Species,4,5306,310,0.058424425179042595,tiny_mlp,21,0.6617448797747876,0.10981436246414575,42
Genus,0,5471,320,0.058490221166148784,tiny_mlp,42,0.8796841632692681,0.4456593627824616,42
Genus,0,5471,320,0.058490221166148784,tiny_mlp,123,0.8800287565521258,0.43636648192054317,42
Genus,0,5471,320,0.058490221166148784,tiny_mlp,7,0.914856338575034,0.43221470197088097,42
Genus,0,5471,320,0.058490221166148784,tiny_mlp,13,0.8739589400116481,0.4480717801300635,42
Genus,0,5471,320,0.058490221166148784,tiny_mlp,21,0.8761739225393127,0.44469863751131833,42
Genus,1,5476,320,0.05843681519357195,tiny_mlp,42,0.8738066088052754,0.2422919959045819,42
Genus,1,5476,320,0.05843681519357195,tiny_mlp,123,0.8690688033359194,0.24124657098836255,42
Genus,1,5476,320,0.05843681519357195,tiny_mlp,7,0.8741375339410397,0.24952921567255193,42
Genus,1,5476,320,0.05843681519357195,tiny_mlp,13,0.8741157147013188,0.24007245001117497,42
Genus,1,5476,320,0.05843681519357195,tiny_mlp,21,0.8748466592319626,0.25094507209193956,42
Genus,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9077161835748794,0.5229795005475862,42
Genus,2,5495,320,0.05823475887170155,tiny_mlp,123,0.89318538647343,0.5127324282765966,42
Genus,2,5495,320,0.05823475887170155,tiny_mlp,7,0.8948623188405798,0.5055971149862083,42
Genus,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9096171497584542,0.5197955177243094,42
Genus,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9149788647342995,0.5410028924978699,42
Genus,3,5500,320,0.05818181818181818,tiny_mlp,42,0.8937584459459461,0.38018252553258264,42
Genus,3,5500,320,0.05818181818181818,tiny_mlp,123,0.8845837355212354,0.3648947342649216,42
