rank,model,auroc_mean,auroc_sd,ap_mean,ap_sd,prevalence,n_replicates
Species,logistic_profile,0.6046673654465909,0.01052375424040227,0.08271058048360577,0.0038633470982611683,0.058078494463416196,25
Genus,logistic_profile,0.7903633626059958,0.01673806893465384,0.26403506544159544,0.06600266957376051,0.05835360771845661,25
Family,logistic_profile,0.914467002982901,0.019806886069078638,0.5395799683225363,0.14555610974707078,0.05835360771845661,25
Order,logistic_profile,0.9661358216886583,0.011935339189426917,0.7476671754399479,0.1487657299329435,0.05835360771845661,25
Phylum,logistic_profile,0.9939092145564856,0.00572726237399353,0.9190699288361333,0.0940921121302419,0.05835360771845661,25
Novelty,logistic_profile,0.9991709887606863,0.0008738655823495768,0.9878310208458717,0.014584279244851457,0.05835360771845661,25
Noise,logistic_profile,0.9998512533986408,0.00022936466312315678,0.9977553151039514,0.0033934694479600637,0.05835360771845661,25
Species,mean_nll,0.4861685077657152,0.0091092522446745,0.0523291904962811,0.0017094718528469592,0.058078494463416196,25
Genus,mean_nll,0.7387150862931677,0.013970771617703132,0.11918321982528514,0.004939249897137219,0.05835360771845661,25
Family,mean_nll,0.87976288325999,0.018422152690829644,0.322883651957947,0.04808323255855928,0.05835360771845661,25
Order,mean_nll,0.9471779884136143,0.009146733831315933,0.5860124058690697,0.0710300761079169,0.05835360771845661,25
Phylum,mean_nll,0.9915412793972448,0.003416938610231924,0.8979467193363996,0.04565492927023952,0.05835360771845661,25
Novelty,mean_nll,0.9987832532534301,0.0009299462472670406,0.9826270569931055,0.013719066473073973,0.05835360771845661,25
Noise,mean_nll,0.9997966452838567,0.00018355982776658886,0.9969468903370593,0.0026852049649486883,0.05835360771845661,25
Species,std_nll,0.5861918010224079,0.014546926251764796,0.08421821473931163,0.006142731011312668,0.058078494463416196,25
Genus,std_nll,0.7555597507547225,0.01856179083091771,0.22337358463792895,0.030540864585645443,0.05835360771845661,25
Family,std_nll,0.7120527077938072,0.03026792833288812,0.2095918158689581,0.024550213915208584,0.05835360771845661,25
Order,std_nll,0.5784957743695849,0.03347092585257252,0.13936324074220643,0.023047313892047977,0.05835360771845661,25
Phylum,std_nll,0.27788433331549095,0.030071103997224007,0.04189564626728399,0.004787741770927262,0.05835360771845661,25
Novelty,std_nll,0.09669223507127009,0.015365443379170719,0.031203731788374336,0.0009741339922115553,0.05835360771845661,25
Noise,std_nll,0.03147694100734216,0.00796279521420654,0.029987485439163707,4.313646428348373e-05,0.05835360771845661,25
Species,tiny_mlp,0.6671549651985781,0.021351397248166072,0.10999749144614164,0.01073095824256766,0.05807849446341619,125
Genus,tiny_mlp,0.884258265404438,0.015741725602462522,0.38506851293685873,0.09486120416470922,0.058353607718456615,125
Family,tiny_mlp,0.9646529354034536,0.012930010396568213,0.6948217054819575,0.14946925132223896,0.058353607718456615,125
Order,tiny_mlp,0.9887069308496312,0.005006803318505492,0.874702405190429,0.07964471937969941,0.058353607718456615,125
Phylum,tiny_mlp,0.9978040257287842,0.0025616000071277305,0.9709443087670032,0.028638229217314314,0.058353607718456615,125
Novelty,tiny_mlp,0.9995443092235362,0.0006409612839398157,0.9930484182595234,0.00960402931046583,0.058353607718456615,125
Noise,tiny_mlp,0.9998243785155553,0.00022248077232318007,0.9970233544368623,0.0038355991930010165,0.058353607718456615,125
